Designator,Mid X,Mid Y,Rotation,Layer
BT1,240.4,-128.4,0.0,bottom
C1,255.8,-125.5,180.0,top
C11,251.425,-107.9,180.0,top
C12,242.2,-104.0,180.0,top
C13,222.9,-135.2,0.0,top
C14,187.8,-130.75,180.0,top
C15,240.0,-119.8,90.0,top
C16,231.9,-133.4,180.0,top
C17,235.7,-138.725,270.0,top
C18,232.6,-142.35,180.0,top
C19,203.7,-137.9,180.0,top
C2,260.6,-125.5,0.0,top
C20,242.0,-106.0,180.0,top
C21,245.4,-117.5,180.0,top
C22,246.5,-115.25,0.0,top
C23,222.6,-122.2,90.0,top
C24,242.7,-115.25,180.0,top
C25,224.85,-117.95,180.0,top
C26,232.5,-124.5,270.0,top
C27,224.5,-128.4,0.0,top
C28,230.1,-120.1,270.0,top
C29,245.6,-127.0,0.0,top
C3,263.0,-123.5,0.0,top
C30,192.75,-138.7,180.0,top
C31,204.0,-141.65,270.0,top
C32,181.3,-104.3,270.0,top
C34,224.5,-131.45,180.0,top
C35,214.4,-108.3,90.0,top
C36,209.9,-108.3,90.0,top
C37,220.45,-108.3,90.0,top
C38,224.95,-108.3,90.0,top
C39,205.5,-141.65,270.0,top
C4,259.8,-123.5,0.0,top
C40,193.05,-135.15,270.0,top
C41,244.65,-128.95,180.0,top
C42,241.475,-119.8,90.0,top
C43,239.55,-137.95,90.0,top
C44,244.55,-130.8,0.0,top
C45,237.4,-132.45,0.0,top
C46,237.4,-129.8,0.0,top
C5,260.9,-114.3,180.0,top
C6,203.7,-139.4,180.0,top
C7,262.4,-113.025,180.0,top
C8,257.6,-116.7,90.0,top
C9,255.275,-107.475,0.0,top
D1,203.5,-144.4,180.0,top
D10,210.0,-111.48,90.0,top
D11,222.8,-111.48,90.0,top
D13,258.4,-144.2,180.0,top
D14,260.1,-137.3,0.0,top
D15,200.9,-103.4,270.0,top
D16,218.9,-111.48,90.0,top
D17,208.8,-103.4,270.0,top
D18,255.6,-117.6,270.0,top
D19,192.85,-142.025,180.0,top
D2,189.9,-103.4,270.0,top
D20,236.7,-126.6,90.0,top
D21,212.8,-103.4,270.0,top
D22,220.5,-103.4,270.0,top
D23,236.35,-103.39,270.0,top
D24,245.7,-104.65,90.0,top
D25,228.4,-103.4,270.0,top
D26,205.0,-103.4,270.0,top
D27,216.6,-103.4,270.0,top
D28,224.4,-103.4,270.0,top
D29,232.4,-103.4,270.0,top
D3,197.1,-140.7,270.0,top
D30,221.4,-143.8,90.0,top
D31,232.65,-144.7,180.0,top
D32,193.6,-103.4,270.0,top
D33,197.3,-103.4,270.0,top
D35,233.8,-106.9,270.0,top
D4,249.6,-145.25,180.0,top
D5,195.075,-142.025,0.0,top
D6,214.45,-111.7,90.0,top
D7,245.95,-134.8,0.0,top
D8,212.6,-144.4,180.0,top
D9,248.95,-130.45,90.0,top
FL1,257.4,-131.4,90.0,top
J1,194.0,-149.5,0.0,bottom
J2,226.86,-144.0,0.0,bottom
J3,188.3726,-97.2323,270.0,bottom
J5,264.0,-144.0,0.0,bottom
J6,237.985,-144.0,0.0,bottom
L1,255.475,-111.85,180.0,top
L2,248.05,-140.2,90.0,top
Q1,199.08,-136.45,90.0,top
Q10,236.8,-142.0,0.0,top
Q2,202.25,-141.85,270.0,top
Q3,210.3,-129.9,270.0,top
Q4,210.35,-126.4,90.0,top
Q5,217.9,-131.8,180.0,top
Q7,183.17,-108.4,180.0,top
Q8,258.2,-140.2,270.0,top
Q9,248.65,-105.2,0.0,top
R1,255.6,-140.3,270.0,top
R10,224.5,-126.9,180.0,top
R100,188.1,-145.4,270.0,top
R11,237.2,-138.725,90.0,top
R12,228.8,-138.2,180.0,top
R13,224.85,-120.95,0.0,top
R14,187.3,-106.5,90.0,top
R15,201.4,-138.75,270.0,top
R16,187.3,-103.2,270.0,top
R17,207.4,-144.45,180.0,top
R18,213.0,-128.1,270.0,top
R19,220.6,-131.9,180.0,top
R2,259.8,-113.05,180.0,top
R20,199.0,-141.7,90.0,top
R21,207.8,-128.175,90.0,top
R22,229.5,-124.5,90.0,top
R23,227.1,-120.1,270.0,top
R24,231.0,-124.5,90.0,top
R25,255.45,-98.0,90.0,top
R26,258.0,-98.0,90.0,top
R27,224.85,-119.45,0.0,top
R28,252.95,-98.0,90.0,top
R29,228.6,-120.1,90.0,top
R3,199.9,-148.9,90.0,top
R30,236.45,-136.45,180.0,top
R31,190.9,-141.7,90.0,top
R32,224.5,-129.9,180.0,top
R33,185.14,-108.0,90.0,top
R34,260.5,-97.95,90.0,top
R35,197.25,-136.39,90.0,top
R36,246.15,-132.3,0.0,top
R37,242.95,-132.3,0.0,top
R38,233.35,-140.45,0.0,top
R39,228.8,-141.2,0.0,top
R4,189.4,-141.7,90.0,top
R40,215.9,-108.3,270.0,top
R41,215.2,-131.25,0.0,top
R42,181.24,-108.0,270.0,top
R43,210.0,-141.65,90.0,top
R44,211.4,-108.3,270.0,top
R45,223.45,-108.3,270.0,top
R46,218.9,-108.3,270.0,top
R47,207.0,-141.65,90.0,top
R48,191.4,-131.9,270.0,top
R49,212.9,-108.3,270.0,top
R5,218.8,-143.7,90.0,top
R50,208.5,-108.3,270.0,top
R51,217.4,-108.3,270.0,top
R52,221.95,-108.3,270.0,top
R53,190.05,-135.15,90.0,top
R54,195.8,-133.7,180.0,top
R55,193.5,-131.5,270.0,top
R56,195.0,-131.5,270.0,top
R57,196.5,-131.5,270.0,top
R58,198.0,-131.5,270.0,top
R59,199.5,-131.5,270.0,top
R6,236.45,-134.95,180.0,top
R60,201.0,-131.5,270.0,top
R61,202.5,-131.5,270.0,top
R62,204.0,-131.5,270.0,top
R63,208.5,-141.65,270.0,top
R64,222.9,-136.7,0.0,top
R66,210.5,-123.6,180.0,top
R67,234.0,-124.5,270.0,top
R69,192.85,-108.15,90.0,top
R7,191.55,-135.15,90.0,top
R70,194.45,-108.15,90.0,top
R71,205.5,-108.2,90.0,top
R72,205.5,-131.5,90.0,top
R73,196.0,-108.1,90.0,top
R74,199.25,-108.15,90.0,top
R75,202.5,-108.15,90.0,top
R76,197.7,-108.15,90.0,top
R77,191.2,-108.15,90.0,top
R78,189.45,-108.15,90.0,top
R79,204.0,-108.2,90.0,top
R8,263.45,-110.9,90.0,top
R80,207.0,-108.2,90.0,top
R81,201.05,-108.15,90.0,top
R82,238.6,-124.8,90.0,top
R83,240.0,-122.8,90.0,top
R86,261.175,-111.675,0.0,top
R87,248.45,-102.65,0.0,top
R88,188.1,-148.9,90.0,top
R89,200.5,-141.7,90.0,top
R9,201.32,-135.7,270.0,top
R91,234.75,-127.5,90.0,top
R92,212.3,-137.25,0.0,top
R93,212.3,-138.9,180.0,top
R94,212.3,-135.3,180.0,top
R95,212.3,-133.7,180.0,top
R99,200.0,-145.4,270.0,top
SW1,260.55,-103.69,90.0,bottom
TH1,228.8,-139.7,180.0,top
U1,261.1,-118.9,90.0,top
U10,237.0,-121.2,270.0,top
U11,217.825,-125.225,0.0,top
U12,242.6,-138.4,0.0,top
U13,245.4,-122.5,90.0,top
U2,232.4,-136.75,270.0,top
U3,243.65,-110.52,0.0,top
U4,217.6,-137.2,0.0,top
U5,207.85,-136.8625,0.0,top
U6,196.4,-119.9,90.0,top
U7,230.225,-129.295,180.0,top
U8,183.1,-104.3,180.0,top
U9,225.8,-123.8,0.0,top
Y1,235.25,-130.95,270.0,top
